id,age
1,30
2,30
3,15
4,30
5,15
6,30
7,30
8,15
9,30
10,30
11,30
12,30
13,15
14,30
15,30
16,30
17,30
18,30
19,30
20,15
21,30
22,30
23,30
24,30
25,15
26,30
27,30
28,15
29,30
30,30
31,30
32,15
33,15
34,50
35,15
36,15
37,30
38,50
39,15
40,30
41,15
42,15
43,30
44,30
45,15
46,30
47,15
48,15
49,30
50,30
51,30
52,30
53,50
54,15
55,30
56,50
57,30
58,30
59,15
60,30
61,30
62,30
63,30
64,15
65,15
66,30
67,30
68,30
69,50
70,30
71,15
72,15
73,30
74,15
75,15
76,30
77,30
78,30
79,15
80,30
81,30
82,30
83,30
84,30
85,30
86,30
87,30
88,30
89,30
90,30
91,30
92,30
93,30
94,30
95,30
96,30
97,50
98,30
99,15
100,30
101,30
102,30
103,30
104,30
105,30
106,30
107,30
108,30
109,50
110,30
111,15
112,30
113,30
114,30
115,30
116,30
117,30
118,30
119,30
120,15
121,15
122,30
123,30
124,30
125,30
126,30
127,30
128,50
129,30
130,15
131,30
132,30
133,50
134,30
135,30
136,30
137,30
138,15
139,30
140,30
141,30
142,30
143,30
144,30
145,15
146,30
147,50
148,30
149,15
150,30
151,30
152,30
153,30
154,30
155,30
156,30
157,30
158,30
159,30
160,30
161,30
162,15
163,30
164,50
165,30
166,30
167,30
168,30
169,30
170,30
171,15
172,30
173,30
174,15
175,30
176,30
177,30
